casualties,drivers,front,rear,kms,petrol_price,van_killed,law,year,month
102,1460,807,406,18299,0.109742343,7,0,1980,Jul
104,1552,885,466,19361,0.108193932,10,0,1980,Aug
132,1548,803,381,17924,0.106255363,8,0,1980,Sep
136,1827,860,369,17872,0.104193034,14,0,1980,Oct
117,1737,825,378,16058,0.101933973,8,0,1980,Nov
137,1941,911,392,15746,0.102793825,9,0,1980,Dec
111,1474,704,284,15226,0.104760341,8,0,1981,Jan
106,1458,691,316,14932,0.104002536,6,0,1981,Feb
98,1542,688,321,16846,0.116655515,7,0,1981,Mar
84,1404,714,358,16854,0.115161476,6,0,1981,Apr
94,1522,814,378,18146,0.112989543,5,0,1981,May
105,1385,736,382,17559,0.113860644,4,0,1981,Jun
123,1641,876,433,18655,0.119118081,5,0,1981,Jul
109,1510,829,506,19453,0.124489986,10,0,1981,Aug
130,1681,818,428,17923,0.123222945,7,0,1981,Sep
153,1938,942,479,17915,0.120677932,10,0,1981,Oct
134,1868,782,370,16496,0.121048983,12,0,1981,Nov
99,1726,823,349,13544,0.116968571,7,0,1981,Dec
115,1456,595,238,13601,0.112750259,4,0,1982,Jan
104,1445,673,285,15667,0.108079307,5,0,1982,Feb
131,1456,660,324,17358,0.108838516,6,0,1982,Mar
108,1365,676,346,18112,0.111291766,4,0,1982,Apr
103,1487,755,410,18581,0.111304009,4,0,1982,May
115,1558,815,411,18759,0.115454358,8,0,1982,Jun
122,1488,867,496,20668,0.114768296,8,0,1982,Jul
122,1684,933,534,21040,0.117207431,3,0,1982,Aug
125,1594,798,396,18993,0.119076397,7,0,1982,Sep
137,1850,950,470,18668,0.117965862,12,0,1982,Oct
138,1998,825,385,16768,0.117449127,2,0,1982,Nov
152,2079,911,411,16551,0.116988458,7,0,1982,Dec
120,1494,619,281,16231,0.112610536,8,0,1983,Jan
95,1057,426,300,15511,0.113657016,3,1,1983,Feb
100,1218,475,318,18308,0.113144445,2,1,1983,Mar
89,1168,556,391,17793,0.118495535,6,1,1983,Apr
82,1236,559,398,19205,0.117969401,3,1,1983,May
89,1076,483,337,19162,0.117686614,7,1,1983,Jun
60,1174,587,477,20997,0.120059239,6,1,1983,Jul
84,1139,615,422,20705,0.119437746,8,1,1983,Aug
113,1427,618,495,18759,0.118881272,8,1,1983,Sep
126,1487,662,471,19240,0.118462361,4,1,1983,Oct
122,1483,519,368,17504,0.118016598,3,1,1983,Nov
118,1513,585,345,16591,0.117706623,5,1,1983,Dec
92,1357,483,296,16224,0.11777609,5,1,1984,Jan
86,1165,434,319,16670,0.114796992,3,1,1984,Feb
81,1282,513,349,18539,0.115735253,4,1,1984,Mar
84,1110,548,375,19759,0.115356263,3,1,1984,Apr
87,1297,586,441,19584,0.114815361,6,1,1984,May
90,1185,522,465,19976,0.114777478,6,1,1984,Jun
79,1222,601,472,21486,0.11493598,7,1,1984,Jul
96,1284,644,521,21626,0.114796992,5,1,1984,Aug
122,1444,643,429,20195,0.114093157,7,1,1984,Sep
120,1575,641,408,19928,0.116465522,7,1,1984,Oct
137,1737,711,490,18564,0.116026113,4,1,1984,Nov
154,1763,721,491,18149,0.116066729,7,1,1984,Dec
