Observation Order,Exam Code,Course ID,Year,Semester,Course,Subject,Exam,Class Order,ID,Gender,Exam Type,Correct,Wrong,Score
34,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,34,2999998,M,A,12,13,48
35,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,35,2438950,F,A,24,1,96
41,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,41,2435074,F,A,11,14,44
42,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,42,2436324,F,A,20,5,80
43,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,43,2580968,F,A,10,15,40
44,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,44,2303700,M,A,18,7,72
46,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,46,1215030,F,A,21,4,84
51,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,51,2436392,F,A,23,2,92
52,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,52,2648400,F,A,22,3,88
55,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,55,2244166,M,A,16,9,64
56,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,56,2436440,F,A,20,5,80
57,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,57,2217092,F,A,16,9,64
58,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,58,2435156,F,A,21,4,84
59,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,59,2439180,F,A,24,1,96
60,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,60,2442942,M,A,20,5,80
62,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,62,2436492,F,A,21,4,84
64,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,64,2217122,F,A,20,5,80
66,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,66,1855878,M,A,12,13,48
67,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,67,2581166,F,A,14,11,56
70,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,70,2581218,F,A,15,10,60
71,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,71,2307728,M,A,21,4,84
74,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,74,2581214,F,A,19,6,76
75,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,75,2303800,F,A,10,15,40
77,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,77,2581266,M,A,16,9,64
79,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,79,2435302,M,A,12,13,48
82,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,82,2482460,M,A,25,0,100
84,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,84,2581348,F,A,10,15,40
86,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,86,2436558,F,A,6,19,24
92,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,92,2217222,F,A,20,5,80
94,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,94,2306572,F,A,21,4,84
96,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,96,2306620,M,A,18,7,72
99,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,99,2436622,F,A,17,8,68
101,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,101,2436674,F,A,21,4,84
107,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,107,2436720,M,A,21,4,84
108,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,108,2439512,F,A,18,7,72
110,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,110,2581562,M,A,14,11,56
111,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,111,2302726,F,A,11,14,44
112,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,112,2436788,M,A,22,3,88
113,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,113,2304030,F,A,19,5,76
114,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,114,2306854,F,A,14,11,56
117,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,117,2581646,M,A,19,6,76
118,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,118,2436820,F,A,22,3,88
123,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,123,2478618,M,A,20,5,80
124,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,124,2436902,F,A,24,1,96
128,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,128,2488864,F,A,16,9,64
129,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,129,2582980,M,A,24,1,96
131,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,131,2437002,F,A,24,1,96
133,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,133,2437038,F,A,20,5,80
134,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,134,2304196,F,A,18,7,72
137,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,137,2304228,F,A,16,8,64
138,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,138,2581812,F,A,19,6,76
140,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,140,2437070,F,A,23,2,92
141,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,141,2304260,F,A,21,4,84
142,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,142,2581828,F,A,10,15,40
144,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,144,2767636,F,A,17,8,68
146,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,146,2435882,F,A,16,9,64
147,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,147,2437086,F,A,22,3,88
148,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,148,2067570,F,A,24,1,96
150,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,150,2303274,F,A,17,8,68
153,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,153,2304426,F,A,19,6,76
155,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,155,2489540,M,A,15,9,60
157,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,157,2437168,F,A,23,2,92
158,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,158,2350262,M,A,17,8,68
161,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,161,2498318,F,A,18,7,72
162,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,162,2437236,F,A,15,10,60
163,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,163,2214648,F,A,21,4,84
165,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,165,2437252,F,A,23,2,92
166,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,166,2625072,M,A,21,4,84
170,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,3,2437268,F,A,17,8,68
172,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,5,2436126,F,A,17,8,68
173,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,6,2580688,F,A,14,11,56
177,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,10,2436178,M,A,19,6,76
178,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,11,2580738,F,A,16,9,64
179,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,12,2704964,F,A,19,6,76
180,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,13,2436194,F,A,19,6,76
185,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,18,2438768,M,A,23,2,92
188,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,21,2568626,M,A,16,9,64
190,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,23,2436278,F,A,19,6,76
192,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,25,2437482,F,A,21,4,84
196,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,29,2705146,F,A,20,5,80
199,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,32,2303670,F,A,23,2,92
200,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,33,2293686,M,A,18,7,72
201,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,34,2999998,M,A,12,13,48
202,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,35,2438950,F,A,24,1,96
208,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,41,2435074,F,A,11,14,44
209,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,42,2436324,F,A,20,5,80
210,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,43,2580968,F,A,10,15,40
211,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,44,2303700,M,A,18,7,72
213,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,46,1215030,F,A,21,4,84
218,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,51,2436392,F,A,23,2,92
219,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,52,2648400,F,A,22,3,88
222,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,55,2244166,M,A,16,9,64
223,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,56,2436440,F,A,20,5,80
224,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,57,2217092,F,A,16,9,64
225,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,58,2435156,F,A,21,4,84
226,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,59,2439180,F,A,24,1,96
227,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,60,2442942,M,A,20,5,80
229,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,62,2436492,F,A,21,4,84
231,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,64,2217122,F,A,20,5,80
233,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,66,1855878,M,A,12,13,48
234,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,67,2581166,F,A,14,11,56
237,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,70,2581218,F,A,15,10,60
238,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,71,2307728,M,A,21,4,84
241,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,74,2581214,F,A,19,6,76
242,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,75,2303800,F,A,10,15,40
244,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,77,2581266,M,A,16,9,64
246,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,79,2435302,M,A,12,13,48
249,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,82,2482460,M,A,25,0,100
251,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,84,2581348,F,A,10,15,40
253,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,86,2436558,F,A,6,19,24
259,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,92,2217222,F,A,20,5,80
261,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,94,2306572,F,A,21,4,84
263,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,96,2306620,M,A,18,7,72
266,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,99,2436622,F,A,17,8,68
268,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,101,2436674,F,A,21,4,84
274,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,107,2436720,F,A,21,4,84
275,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,108,2439512,M,A,18,7,72
277,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,110,2581562,M,A,14,11,56
278,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,111,2302726,F,A,11,14,44
279,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,112,2436788,M,A,22,3,88
280,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,113,2304030,F,A,19,5,76
281,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,114,2306854,F,A,14,11,56
284,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,117,2581646,M,A,19,6,76
285,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,118,2436820,F,A,22,3,88
290,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,123,2478618,M,A,20,5,80
291,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,124,2436902,F,A,24,1,96
295,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,128,2488864,F,A,16,9,64
296,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,129,2582980,F,A,24,1,96
298,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,131,2437002,F,A,24,1,96
300,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,133,2437038,F,A,20,5,80
301,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,134,2304196,F,A,18,7,72
304,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,137,2304228,F,A,16,8,64
305,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,138,2581812,F,A,19,6,76
307,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,140,2437070,F,A,23,2,92
308,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,141,2304260,F,A,21,4,84
309,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,142,2581828,F,A,10,15,40
311,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,144,2767636,F,A,17,8,68
313,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,146,2435882,F,A,16,9,64
314,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,147,2437086,F,A,22,3,88
315,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,148,2067570,F,A,24,1,96
317,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,150,2303274,F,A,17,8,68
320,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,153,2304426,F,A,19,6,76
322,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,155,2489540,M,A,15,9,60
324,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,157,2437168,F,A,23,2,92
325,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,158,2350262,M,A,17,8,68
328,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,161,2498318,F,A,18,7,72
329,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,162,2437236,F,A,15,10,60
330,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,163,2214648,F,A,21,4,84
332,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,165,2437252,F,A,23,2,92
333,S12-ECON210-3-Micro-Final,S12-ECON210-3-Micro,2012,S12,ECON210-3,Microeconomics,Final,166,2625072,M,A,21,4,84
338,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,4,2750836,M,A,20,5,80
339,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,5,2705906,F,A,17,8,68
340,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,6,2480562,M,A,10,14,40
342,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,8,2057206,M,A,15,10,60
343,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,9,2822806,M,A,20,5,80
344,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,10,2707226,F,A,23,2,92
345,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,11,2822790,F,A,20,5,80
346,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,12,2214418,M,A,20,5,80
348,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,14,2585820,F,A,20,5,80
350,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,16,2581744,F,A,16,9,64
353,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,19,2695396,M,A,20,5,80
354,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,20,2070488,M,A,21,4,84
355,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,21,2403212,F,A,15,10,60
356,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,22,2646420,M,A,22,3,88
359,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,25,2581728,F,A,21,3,84
361,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,27,2705792,M,A,18,7,72
362,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,28,2624640,M,A,15,10,60
364,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,30,2346750,M,A,18,7,72
365,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,31,2705708,M,A,19,5,76
367,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,33,2582074,F,A,13,12,52
369,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,35,2706200,F,A,15,10,60
371,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,37,2750190,F,A,19,6,76
372,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,38,2582882,F,A,16,9,64
375,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,41,2705678,F,A,19,6,76
376,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,42,2479342,M,A,16,9,64
378,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,44,2900292,F,A,21,4,84
379,F13-ECON210-3-Macro-MT,F13-ECON210-3-Macro,2013,F13,ECON210-3,Macroeconomics,MT,45,2749764,M,A,21,4,84
